year,doy,block,rot_trt,plot_id,sensor_depth_cm,value,Estimate,Q2.5,Q97.5,mod_desc
2018,139,b1,2y,2018_13,15,0.21051323724289736,0.28100702250485476,0.25307371608183254,0.308940328927877,"random effect of block, 35 knots, reml"
2018,139,b1,2y,2018_13,15,0.21051323724289736,0.28100702250485476,0.25307371608183254,0.308940328927877,"random effect of block, 35 knots, reml"
2018,139,b1,2y,2018_13,15,0.21051323724289736,0.28100702250485476,0.25307371608183254,0.308940328927877,"random effect of block, 35 knots, reml"
2018,140,b1,2y,2018_13,15,0.2099764415373405,0.28104609957342797,0.25523664527202905,0.3068555538748269,"random effect of block, 35 knots, reml"
2018,140,b1,2y,2018_13,15,0.2099764415373405,0.28104609957342797,0.25523664527202905,0.3068555538748269,"random effect of block, 35 knots, reml"
2018,140,b1,2y,2018_13,15,0.2099764415373405,0.28104609957342797,0.25523664527202905,0.3068555538748269,"random effect of block, 35 knots, reml"
2018,141,b1,2y,2018_13,15,0.20410693002243838,0.280974924221152,0.2559394296514889,0.3060104187908151,"random effect of block, 35 knots, reml"
2018,141,b1,2y,2018_13,15,0.20410693002243838,0.280974924221152,0.2559394296514889,0.3060104187908151,"random effect of block, 35 knots, reml"
2018,141,b1,2y,2018_13,15,0.20410693002243838,0.280974924221152,0.2559394296514889,0.3060104187908151,"random effect of block, 35 knots, reml"
2018,142,b1,2y,2018_13,15,0.20828427746891975,0.2806832440271778,0.2555538334907149,0.3058126545636407,"random effect of block, 35 knots, reml"
2018,142,b1,2y,2018_13,15,0.20828427746891975,0.2806832440271778,0.2555538334907149,0.3058126545636407,"random effect of block, 35 knots, reml"
2018,142,b1,2y,2018_13,15,0.20828427746891975,0.2806832440271778,0.2555538334907149,0.3058126545636407,"random effect of block, 35 knots, reml"
2018,143,b1,2y,2018_13,15,0.2102339304983616,0.28006082641211877,0.25476508338028747,0.30535656944395007,"random effect of block, 35 knots, reml"
2018,143,b1,2y,2018_13,15,0.2102339304983616,0.28006082641211877,0.25476508338028747,0.30535656944395007,"random effect of block, 35 knots, reml"
2018,143,b1,2y,2018_13,15,0.2102339304983616,0.28006082641211877,0.25476508338028747,0.30535656944395007,"random effect of block, 35 knots, reml"
2018,144,b1,2y,2018_13,15,0.20979756315549214,0.27911307484046693,0.25394428366976657,0.3042818660111673,"random effect of block, 35 knots, reml"
2018,144,b1,2y,2018_13,15,0.20979756315549214,0.27911307484046693,0.25394428366976657,0.3042818660111673,"random effect of block, 35 knots, reml"
2018,144,b1,2y,2018_13,15,0.20979756315549214,0.27911307484046693,0.25394428366976657,0.3042818660111673,"random effect of block, 35 knots, reml"
2018,145,b1,2y,2018_13,15,0.21199976901213327,0.2782333528944142,0.2530925538586,0.3033741519302284,"random effect of block, 35 knots, reml"
2018,145,b1,2y,2018_13,15,0.21199976901213327,0.2782333528944142,0.2530925538586,0.3033741519302284,"random effect of block, 35 knots, reml"
2018,145,b1,2y,2018_13,15,0.21199976901213327,0.2782333528944142,0.2530925538586,0.3033741519302284,"random effect of block, 35 knots, reml"
2018,146,b1,2y,2018_13,15,0.21248611249029636,0.2778962947868541,0.25249502320367384,0.3032975663700344,"random effect of block, 35 knots, reml"
2018,146,b1,2y,2018_13,15,0.21248611249029636,0.2778962947868541,0.25249502320367384,0.3032975663700344,"random effect of block, 35 knots, reml"
2018,146,b1,2y,2018_13,15,0.21248611249029636,0.2778962947868541,0.25249502320367384,0.3032975663700344,"random effect of block, 35 knots, reml"
2018,147,b1,2y,2018_13,15,0.21092719522615275,0.27857622783013114,0.25300304180972105,0.30414941385054123,"random effect of block, 35 knots, reml"
2018,147,b1,2y,2018_13,15,0.21092719522615275,0.27857622783013114,0.25300304180972105,0.30414941385054123,"random effect of block, 35 knots, reml"
2018,147,b1,2y,2018_13,15,0.21092719522615275,0.27857622783013114,0.25300304180972105,0.30414941385054123,"random effect of block, 35 knots, reml"
2018,148,b1,2y,2018_13,15,0.20955311755339304,0.2804855780806796,0.25513340598850526,0.3058377501728539,"random effect of block, 35 knots, reml"
2018,148,b1,2y,2018_13,15,0.20955311755339304,0.2804855780806796,0.25513340598850526,0.3058377501728539,"random effect of block, 35 knots, reml"
2018,148,b1,2y,2018_13,15,0.20955311755339304,0.2804855780806796,0.25513340598850526,0.3058377501728539,"random effect of block, 35 knots, reml"
2018,149,b1,2y,2018_13,15,0.20520808175206184,0.28309760162292935,0.2579261969416412,0.3082690063042175,"random effect of block, 35 knots, reml"
2018,149,b1,2y,2018_13,15,0.20520808175206184,0.28309760162292935,0.2579261969416412,0.3082690063042175,"random effect of block, 35 knots, reml"
2018,149,b1,2y,2018_13,15,0.20520808175206184,0.28309760162292935,0.2579261969416412,0.3082690063042175,"random effect of block, 35 knots, reml"
2018,150,b1,2y,2018_13,15,0.21924914171298346,0.28575608087224647,0.26048639520507905,0.3110257665394139,"random effect of block, 35 knots, reml"
2018,150,b1,2y,2018_13,15,0.21924914171298346,0.28575608087224647,0.26048639520507905,0.3110257665394139,"random effect of block, 35 knots, reml"
2018,150,b1,2y,2018_13,15,0.21924914171298346,0.28575608087224647,0.26048639520507905,0.3110257665394139,"random effect of block, 35 knots, reml"
2018,151,b1,2y,2018_13,15,0.21792490842441717,0.2878056099450687,0.2624915186789306,0.3131197012112068,"random effect of block, 35 knots, reml"
2018,151,b1,2y,2018_13,15,0.21792490842441717,0.2878056099450687,0.2624915186789306,0.3131197012112068,"random effect of block, 35 knots, reml"
2018,151,b1,2y,2018_13,15,0.21792490842441717,0.2878056099450687,0.2624915186789306,0.3131197012112068,"random effect of block, 35 knots, reml"
2018,152,b1,2y,2018_13,15,0.20787328047056994,0.2888280401746884,0.2637681875282197,0.3138878928211571,"random effect of block, 35 knots, reml"
2018,152,b1,2y,2018_13,15,0.20787328047056994,0.2888280401746884,0.2637681875282197,0.3138878928211571,"random effect of block, 35 knots, reml"
2018,152,b1,2y,2018_13,15,0.20787328047056994,0.2888280401746884,0.2637681875282197,0.3138878928211571,"random effect of block, 35 knots, reml"
2018,153,b1,2y,2018_13,15,0.2093461323529482,0.288970858289114,0.2640299250349356,0.3139117915432924,"random effect of block, 35 knots, reml"
2018,153,b1,2y,2018_13,15,0.2093461323529482,0.288970858289114,0.2640299250349356,0.3139117915432924,"random effect of block, 35 knots, reml"
2018,153,b1,2y,2018_13,15,0.2093461323529482,0.288970858289114,0.2640299250349356,0.3139117915432924,"random effect of block, 35 knots, reml"
2018,154,b1,2y,2018_13,15,0.2202974564085404,0.28846404389560676,0.263324195336664,0.3136038924545495,"random effect of block, 35 knots, reml"
2018,154,b1,2y,2018_13,15,0.2202974564085404,0.28846404389560676,0.263324195336664,0.3136038924545495,"random effect of block, 35 knots, reml"
2018,154,b1,2y,2018_13,15,0.2202974564085404,0.28846404389560676,0.263324195336664,0.3136038924545495,"random effect of block, 35 knots, reml"
2018,155,b1,2y,2018_13,15,0.20210367689530054,0.2875380838164124,0.26226888074649823,0.31280728688632653,"random effect of block, 35 knots, reml"
2018,155,b1,2y,2018_13,15,0.20210367689530054,0.2875380838164124,0.26226888074649823,0.31280728688632653,"random effect of block, 35 knots, reml"
2018,155,b1,2y,2018_13,15,0.20210367689530054,0.2875380838164124,0.26226888074649823,0.31280728688632653,"random effect of block, 35 knots, reml"
2018,156,b1,2y,2018_13,15,0.18608977335194746,0.28649483160736133,0.26140655670715834,0.3115831065075643,"random effect of block, 35 knots, reml"
2018,156,b1,2y,2018_13,15,0.18608977335194746,0.28649483160736133,0.26140655670715834,0.3115831065075643,"random effect of block, 35 knots, reml"
2018,156,b1,2y,2018_13,15,0.18608977335194746,0.28649483160736133,0.26140655670715834,0.3115831065075643,"random effect of block, 35 knots, reml"
2018,157,b1,2y,2018_13,15,0.187937307445442,0.28578047518875055,0.2607717058363408,0.3107892445411603,"random effect of block, 35 knots, reml"
2018,157,b1,2y,2018_13,15,0.187937307445442,0.28578047518875055,0.2607717058363408,0.3107892445411603,"random effect of block, 35 knots, reml"
2018,157,b1,2y,2018_13,15,0.187937307445442,0.28578047518875055,0.2607717058363408,0.3107892445411603,"random effect of block, 35 knots, reml"
2018,158,b1,2y,2018_13,15,0.22101973618070284,0.28585861422032016,0.2606842865340348,0.3110329419066055,"random effect of block, 35 knots, reml"
2018,158,b1,2y,2018_13,15,0.22101973618070284,0.28585861422032016,0.2606842865340348,0.3110329419066055,"random effect of block, 35 knots, reml"
2018,158,b1,2y,2018_13,15,0.22101973618070284,0.28585861422032016,0.2606842865340348,0.3110329419066055,"random effect of block, 35 knots, reml"
2018,159,b1,2y,2018_13,15,0.20318784254292646,0.2871893772305205,0.2619767898870722,0.31240196457396885,"random effect of block, 35 knots, reml"
2018,159,b1,2y,2018_13,15,0.20318784254292646,0.2871893772305205,0.2619767898870722,0.31240196457396885,"random effect of block, 35 knots, reml"
2018,159,b1,2y,2018_13,15,0.20318784254292646,0.2871893772305205,0.2619767898870722,0.31240196457396885,"random effect of block, 35 knots, reml"
2018,160,b1,2y,2018_13,15,0.1890561127414306,0.28995109242519373,0.26497902806937845,0.314923156781009,"random effect of block, 35 knots, reml"
2018,160,b1,2y,2018_13,15,0.1890561127414306,0.28995109242519373,0.26497902806937845,0.314923156781009,"random effect of block, 35 knots, reml"
2018,160,b1,2y,2018_13,15,0.1890561127414306,0.28995109242519373,0.26497902806937845,0.314923156781009,"random effect of block, 35 knots, reml"
2018,161,b1,2y,2018_13,15,0.18005441191295782,0.29383676831780564,0.26894238982845015,0.31873114680716114,"random effect of block, 35 knots, reml"
2018,161,b1,2y,2018_13,15,0.18005441191295782,0.29383676831780564,0.26894238982845015,0.31873114680716114,"random effect of block, 35 knots, reml"
2018,161,b1,2y,2018_13,15,0.18005441191295782,0.29383676831780564,0.26894238982845015,0.31873114680716114,"random effect of block, 35 knots, reml"
2018,162,b1,2y,2018_13,15,0.21129654409984747,0.29849142850287663,0.27340526906628576,0.3235775879394675,"random effect of block, 35 knots, reml"
2018,162,b1,2y,2018_13,15,0.21129654409984747,0.29849142850287663,0.27340526906628576,0.3235775879394675,"random effect of block, 35 knots, reml"
2018,162,b1,2y,2018_13,15,0.21129654409984747,0.29849142850287663,0.27340526906628576,0.3235775879394675,"random effect of block, 35 knots, reml"
2018,163,b1,2y,2018_13,15,0.22898949744800726,0.3035631713196188,0.27842309642608276,0.32870324621315483,"random effect of block, 35 knots, reml"
